job_title,experience_level,salary_in_usd,company_location
Data Lead,SE,55176,US
Data Scientist,MI,106676,US
Data Scientist,MI,82058,US
Data Scientist,MI,96000,US
Data Scientist,MI,87000,US
Data Scientist,MI,96000,US
Data Scientist,MI,87000,US
Data Scientist,MI,96000,US
Data Scientist,MI,87000,US
Data Scientist,MI,96000,US
Data Scientist,MI,87000,US
Data Manager,MI,147000,US
Data Manager,MI,118000,US
Analytics Engineer,SE,176000,US
Analytics Engineer,SE,124000,US
Data Analyst,SE,149940,US
Data Analyst,SE,111100,US
Data Analyst,EN,76024,US
Data Analyst,EN,58480,US
Data Analyst,SE,80000,US
Data Analyst,SE,80000,US
Data Analyst,SE,90000,CA
Data Analyst,SE,75000,CA
Data Analyst,EN,95000,CA
Data Analyst,EN,75000,CA
Data Analyst,EN,85000,PR
Data Analyst,EN,75000,PR
Data Analyst,SE,122256,US
Data Analyst,SE,94300,US
Machine Learning Engineer,SE,296300,US
Machine Learning Engineer,SE,166600,US
Machine Learning Engineer,SE,274300,US
Machine Learning Engineer,SE,170800,US
Data Architect,SE,168000,US
Data Architect,SE,48000,US
Data Management Specialist,MI,184100,US
Data Management Specialist,MI,117800,US
Machine Learning Engineer,MI,175800,US
Data Analyst,EN,42000,US
Data Analyst,EN,42000,US
Data Analyst,MI,85000,US
Data Analyst,MI,70000,US
Data Integration Engineer,MI,231100,US
Data Integration Engineer,MI,151000,US
Data Scientist,MI,69620,GB
Data Scientist,MI,50632,GB
Data Scientist,MI,194588,US
Data Scientist,MI,84009,US
Director of Machine Learning,EX,250000,US
Director of Machine Learning,EX,220000,US
Data Reporting Analyst,SE,141000,US
Data Reporting Analyst,SE,86000,US
Data Manager,MI,161884,US
Data Manager,MI,104274,US
Data Manager,SE,130000,US
Data Manager,SE,110500,US
Data Manager,MI,96000,US
Data Manager,MI,81600,US
Data Manager,MI,135000,US
Data Manager,MI,95000,US
Data Scientist,SE,167300,US
Data Scientist,SE,101500,US
Data Analyst,EN,18556,TW
Data Analyst,EN,60000,US
Data Analyst,EN,51000,US
Data Analyst,EN,96000,US
Data Analyst,EN,52000,US
Data Analyst,SE,102092,US
Data Analyst,SE,75624,US
Data Analyst,SE,102000,US
Data Analyst,SE,87000,US
Machine Learning Engineer,EX,251000,US
Machine Learning Engineer,EX,167400,US
Data Architect,SE,149500,US
Data Architect,SE,110614,US
Data Analyst,EN,170500,US
Data Analyst,EN,102500,US
Data Analytics Lead,SE,188640,US
Data Analytics Lead,SE,125760,US
Data Analyst,EN,90000,US
Data Analyst,EN,80000,US
Data Scientist,SE,167900,US
Data Scientist,SE,124100,US
Data Scientist,SE,284000,US
Data Scientist,SE,162000,US
Data Governance Specialist,SE,194900,US
Data Governance Specialist,SE,114700,US
Data Governance,SE,194900,US
Data Governance,SE,114700,US
Data Specialist,SE,201400,US
Data Specialist,SE,120800,US
Data Scientist,SE,28206,FR
Data Scientist,MI,240800,US
Data Scientist,MI,175800,US
Data Scientist,SE,210706,US
Data Scientist,SE,185265,US
Machine Learning Engineer,SE,120253,GB
Machine Learning Engineer,SE,107594,GB
Machine Learning Engineer,MI,75949,GB
Machine Learning Engineer,MI,75949,GB
Data Analyst,SE,150000,US
Data Analyst,SE,92000,US
Data Specialist,MI,122500,US
Data Specialist,MI,68600,US
Data Engineer,SE,202560,US
Data Engineer,SE,135040,US
Data Reporting Analyst,SE,104370,US
Data Reporting Analyst,SE,77900,US
Data Engineer,SE,286000,US
Data Engineer,SE,110000,US
Data Specialist,SE,199001,US
Data Specialist,SE,119401,US
